区分,薬価基準収載医薬品コード,成分名,規格,,,,品名,メーカー名,診療報酬において加算等の算定対象となる後発医薬品,先発医薬品,同一剤形・規格の後発医薬品がある先発医薬品,薬価,経過措置による使用期限,備考
内用薬,1124017F4049,ジアゼパム,５ｍｇ１錠,局,,,５ｍｇセルシン錠,武田テバ薬品,,準先発品,○,9.40 ,,
内用薬,1124017F4162,ジアゼパム,５ｍｇ１錠,局,,,ホリゾン錠５ｍｇ,丸石製薬,,準先発品,○,9.40 ,,
内用薬,1124017F5037,ジアゼパム,１０ｍｇ１錠,局,,,１０ｍｇセルシン錠,武田テバ薬品,,準先発品,○,13.60 ,,
内用薬,1124017F5096,ジアゼパム,１０ｍｇ１錠,局,,,ジアゼパム錠１０ｍｇ「ツルハラ」,鶴原製薬,後発品,,,5.70 ,,
内用薬,1124017Q1032,ジアゼパム,０．１％１ｍＬ,,,,セルシンシロップ０．１％,武田テバ薬品,,,,14.40 ,,
内用薬,1124019F1030,フルジアゼパム,０．２５ｍｇ１錠,局,,,エリスパン錠０．２５ｍｇ,住友ファーマ,,先発品,,7.10 ,,
内用薬,1124020C1010,ブロマゼパム,１％１ｇ,,,,ブロマゼパム１％細粒,,後発品,,,18.50 ,,
内用薬,1124020C1045,ブロマゼパム,１％１ｇ,,,,レキソタン細粒１％,サンドファーマ,,先発品,○,19.20 ,,
内用薬,1124020F1017,ブロマゼパム,１ｍｇ１錠,,,,ブロマゼパム１ｍｇ錠,,★,,,5.70 ,,
内用薬,1124020F1025,ブロマゼパム,１ｍｇ１錠,,,,レキソタン錠１,サンドファーマ,,先発品,,5.70 ,,
内用薬,1124020F2013,ブロマゼパム,２ｍｇ１錠,,,,ブロマゼパム２ｍｇ錠,,後発品,,,5.70 ,,
内用薬,1124020F2030,ブロマゼパム,２ｍｇ１錠,,,,レキソタン錠２,サンドファーマ,,先発品,○,5.90 ,,
内用薬,1124020F3010,ブロマゼパム,３ｍｇ１錠,,,,ブロマゼパム３ｍｇ錠,,後発品,,,5.90 ,,
内用薬,1124020F4016,ブロマゼパム,５ｍｇ１錠,,,,ブロマゼパム５ｍｇ錠,,後発品,,,5.90 ,,
内用薬,1124020F4032,ブロマゼパム,５ｍｇ１錠,,,,レキソタン錠５,サンドファーマ,,先発品,○,9.80 ,,
内用薬,1124021F1046,メダゼパム,２ｍｇ１錠,,,,メダゼパム錠２（ツルハラ）,鶴原製薬,★,,,5.70 ,,
内用薬,1124021F1054,メダゼパム,２ｍｇ１錠,,,,レスミット錠２,共和薬品工業,,先発品,,5.70 ,,
内用薬,1124021F2123,メダゼパム,５ｍｇ１錠,,,,メダゼパム錠５（ツルハラ）,鶴原製薬,★,,,5.70 ,,
内用薬,1124021F2166,メダゼパム,５ｍｇ１錠,,,,レスミット錠５,共和薬品工業,,先発品,,5.70 ,,
内用薬,1124022F1016,ロラゼパム,０．５ｍｇ１錠,,,,ロラゼパム０．５ｍｇ錠,,後発品,,,5.10 ,,
内用薬,1124022F1067,ロラゼパム,０．５ｍｇ１錠,,,,ワイパックス錠０．５,ファイザー,,先発品,○,5.90 ,,
内用薬,1124022F2012,ロラゼパム,１ｍｇ１錠,,,,ロラゼパム１ｍｇ錠,,後発品,,,5.70 ,,
内用薬,1124022F2071,ロラゼパム,１ｍｇ１錠,,,,ワイパックス錠１．０,ファイザー,,先発品,○,7.80 ,,
内用薬,1124023F1010,アルプラゾラム,０．４ｍｇ１錠,,,,アルプラゾラム０．４ｍｇ錠,,後発品,,,5.70 ,,
内用薬,1124023F1029,アルプラゾラム,０．４ｍｇ１錠,,,,コンスタン０．４ｍｇ錠,武田テバ薬品,,先発品,○,6.40 ,,
内用薬,1124023F1037,アルプラゾラム,０．４ｍｇ１錠,,,,ソラナックス０．４ｍｇ錠,ヴィアトリス製薬,,先発品,○,6.30 ,,
内用薬,1124023F2017,アルプラゾラム,０．８ｍｇ１錠,,,,アルプラゾラム０．８ｍｇ錠,,後発品,,,5.90 ,,
内用薬,1124023F2025,アルプラゾラム,０．８ｍｇ１錠,,,,コンスタン０．８ｍｇ錠,武田テバ薬品,,先発品,○,10.50 ,,
内用薬,1124023F2033,アルプラゾラム,０．８ｍｇ１錠,,,,ソラナックス０．８ｍｇ錠,ヴィアトリス製薬,,先発品,○,10.60 ,,
内用薬,1124024C1035,フルタゾラム,１％１ｇ,,,,コレミナール細粒１％,沢井製薬,,先発品,,12.40 ,,
内用薬,1124024F1031,フルタゾラム,４ｍｇ１錠,,,,コレミナール錠４ｍｇ,沢井製薬,,先発品,,7.30 ,,
内用薬,1124025C1030,メキサゾラム,０．１％１ｇ,,,,メレックス細粒０．１％,アルフレッサファーマ,,先発品,,12.10 ,,
内用薬,1124025F1028,メキサゾラム,０．５ｍｇ１錠,,,,メレックス錠０．５ｍｇ,アルフレッサファーマ,,先発品,,5.90 ,,
内用薬,1124025F2024,メキサゾラム,１ｍｇ１錠,,,,メレックス錠１ｍｇ,アルフレッサファーマ,,先発品,,10.40 ,,
内用薬,1124026C1018,トフィソパム,１０％１ｇ,,,,トフィソパム１０％細粒,,後発品,,,6.90 ,,
内用薬,1124026C1085,トフィソパム,１０％１ｇ,,,,グランダキシン細粒１０％,持田製薬,,先発品,○,14.50 ,R5.3.31まで,
内用薬,1124026F1014,トフィソパム,５０ｍｇ１錠,,,,トフィソパム５０ｍｇ錠,,後発品,,,5.90 ,,
内用薬,1124026F1022,トフィソパム,５０ｍｇ１錠,,,,グランダキシン錠５０,持田製薬,,先発品,○,11.20 ,,
内用薬,1124027F1035,フルトプラゼパム,２ｍｇ１錠,局,,,レスタス錠２ｍｇ,日本ジェネリック,,先発品,,16.40 ,R5.3.31まで,
内用薬,1124028B1011,クロルジアゼポキシド,１％１ｇ,局,,,クロルジアゼポキシド散,,,,,7.30 ,,
内用薬,1124028B1046,クロルジアゼポキシド,１％１ｇ,局,,,コントール散１％,武田テバ薬品,,,,7.50 ,,
内用薬,1124028B2018,クロルジアゼポキシド,１０％１ｇ,局,,,クロルジアゼポキシド散,,,,,36.20 ,,
内用薬,1124028F1013,クロルジアゼポキシド,５ｍｇ１錠,局,,,クロルジアゼポキシド錠,,,,,9.80 ,,
内用薬,1124028F2010,クロルジアゼポキシド,１０ｍｇ１錠,局,,,クロルジアゼポキシド錠,,,,,9.80 ,,
内用薬,1124029C1038,ロフラゼプ酸エチル,１％１ｇ,,,,メイラックス細粒１％,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,,先発品,,158.40 ,,
内用薬,1124029F1018,ロフラゼプ酸エチル,１ｍｇ１錠,,,,ロフラゼプ酸エチル１ｍｇ錠,,後発品,,,5.90 ,,
内用薬,1124029F1026,ロフラゼプ酸エチル,１ｍｇ１錠,局,,,メイラックス錠１ｍｇ,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,,先発品,○,12.40 ,,
内用薬,1124029F1158,ロフラゼプ酸エチル,１ｍｇ１錠,,,,ロフラゼプ酸エチル錠１ｍｇ「日医工」,日医工,後発品,,,5.90 ,,
内用薬,1124029F2014,ロフラゼプ酸エチル,２ｍｇ１錠,,,,ロフラゼプ酸エチル２ｍｇ錠,,後発品,,,8.70 ,,
内用薬,1124029F2022,ロフラゼプ酸エチル,２ｍｇ１錠,,,,メイラックス錠２ｍｇ,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,,先発品,○,19.50 ,,
内用薬,1124029F2090,ロフラゼプ酸エチル,２ｍｇ１錠,局,,,ロフラゼプ酸エチル錠２ｍｇ「サワイ」,沢井製薬,後発品,,,9.30 ,,
内用薬,1124029F2103,ロフラゼプ酸エチル,２ｍｇ１錠,局,,,ロフラゼプ酸エチル錠２ｍｇ「トーワ」,東和薬品,後発品,,,9.30 ,,
内用薬,1124029F2111,ロフラゼプ酸エチル,２ｍｇ１錠,局,,,ロフラゼプ酸エチル錠２ｍｇ「ＳＮ」,シオノケミカル,後発品,,,9.30 ,,
内用薬,1124030F1010,クアゼパム,１５ｍｇ１錠,,,,クアゼパム１５ｍｇ錠,,後発品,,,26.90 ,,
内用薬,1124030F1029,クアゼパム,１５ｍｇ１錠,,,,ドラール錠１５,久光製薬,,先発品,○,62.30 ,,
内用薬,1124030F1037,クアゼパム,１５ｍｇ１錠,,,,クアゼパム錠１５ｍｇ「ＭＮＰ」,日新製薬（山形）,後発品,,,34.80 ,,
内用薬,1124030F1061,クアゼパム,１５ｍｇ１錠,,,,クアゼパム錠１５ｍｇ「トーワ」,東和薬品,後発品,,,34.80 ,,
内用薬,1124030F1070,クアゼパム,１５ｍｇ１錠,,,,クアゼパム錠１５ｍｇ「日医工」,日医工,後発品,,,34.80 ,,
内用薬,1124030F2017,クアゼパム,２０ｍｇ１錠,,,,クアゼパム２０ｍｇ錠,,後発品,,,33.40 ,,
内用薬,1124030F2025,クアゼパム,２０ｍｇ１錠,,,,ドラール錠２０,久光製薬,,先発品,○,76.30 ,,
内用薬,1124030F2033,クアゼパム,２０ｍｇ１錠,,,,クアゼパム錠２０ｍｇ「ＭＮＰ」,日新製薬（山形）,後発品,,,41.30 ,,
内用薬,1124030F2050,クアゼパム,２０ｍｇ１錠,,,,クアゼパム錠２０ｍｇ「トーワ」,東和薬品,後発品,,,41.30 ,,
内用薬,1124030F2084,クアゼパム,２０ｍｇ１錠,,,,クアゼパム錠２０ｍｇ「日医工」,日医工,後発品,,,41.30 ,,
内用薬,1125001X1017,アモバルビタール,１ｇ,局,,,アモバルビタール,,,,,40.50 ,,
内用薬,1125002X1011,バルビタール,１ｇ,局,,,バルビタール,,,,,10.00 ,,
内用薬,1125003B2015,フェノバルビタール,１０％１ｇ,局,,,フェノバルビタール散１０％,,,,,7.30 ,,
内用薬,1125003B2031,フェノバルビタール,１０％１ｇ,局,,,フェノバール散１０％,藤永製薬,,,,7.50 ,,
内用薬,1125003B2139,フェノバルビタール,１０％１ｇ,局,,,フェノバルビタール散１０％「マルイシ」,丸石製薬,,,,7.50 ,,
内用薬,1125003B2163,フェノバルビタール,１０％１ｇ,局,,,フェノバルビタール散１０％「シオエ」,シオエ製薬,,,,7.50 ,,
内用薬,1125003X1016,フェノバルビタール,１ｇ,局,,,フェノバルビタール,,,,,26.70 ,,
内用薬,1125004F1023,フェノバルビタール,３０ｍｇ１錠,局,,,フェノバール錠３０ｍｇ,藤永製薬,,,,7.00 ,,
内用薬,1125004S1030,フェノバルビタール,０．４％１ｍＬ,,,,フェノバールエリキシル０．４％,藤永製薬,,,,3.40 ,,
内用薬,1125006F1030,ペントバルビタールカルシウム,５０ｍｇ１錠,局,,,ラボナ錠５０ｍｇ,田辺三菱製薬,,,,8.90 ,,
内用薬,1126001X1014,臭化カリウム,１０ｇ,局,,,臭化カリウム,,,,,82.60 ,,
内用薬,1126002X1019,臭化ナトリウム,１０ｇ,局,,,臭化ナトリウム,,,,,83.50 ,,
内用薬,1129004Q1031,トリクロホスナトリウム,１０％１ｍＬ,局,,,トリクロリールシロップ１０％,アルフレッサファーマ,,,,10.20 ,,
内用薬,1129006F1013,リルマザホン塩酸塩水和物,１ｍｇ１錠,,,,リルマザホン塩酸塩１ｍｇ錠,,後発品,,,7.70 ,R5.3.31まで,
内用薬,1129006F1021,リルマザホン塩酸塩水和物,１ｍｇ１錠,,,,リスミー錠１ｍｇ,共和薬品工業,,先発品,,13.10 ,,
内用薬,1129006F2010,リルマザホン塩酸塩水和物,２ｍｇ１錠,,,,リルマザホン塩酸塩２ｍｇ錠,,後発品,,,12.30 ,R5.3.31まで,
内用薬,1129006F2028,リルマザホン塩酸塩水和物,２ｍｇ１錠,,,,リスミー錠２ｍｇ,共和薬品工業,,先発品,,21.20 ,,
内用薬,1129007F1018,ゾピクロン,７．５ｍｇ１錠,,,,ゾピクロン７．５ｍｇ錠,,後発品,,,6.10 ,,
内用薬,1129007F1026,ゾピクロン,７．５ｍｇ１錠,,,,アモバン錠７．５,サノフィ,,先発品,○,13.60 ,,
内用薬,1129007F1107,ゾピクロン,７．５ｍｇ１錠,局,,,ゾピクロン錠７．５ｍｇ「トーワ」,東和薬品,後発品,,,6.50 ,,
内用薬,1129007F1123,ゾピクロン,７．５ｍｇ１錠,局,,,ゾピクロン錠７．５ｍｇ「サワイ」,沢井製薬,後発品,,,6.50 ,,
内用薬,1129007F2014,ゾピクロン,１０ｍｇ１錠,,,,ゾピクロン１０ｍｇ錠,,後発品,,,6.80 ,,
内用薬,1129007F2022,ゾピクロン,１０ｍｇ１錠,,,,アモバン錠１０,サノフィ,,先発品,○,15.30 ,,
内用薬,1129007F2073,ゾピクロン,１０ｍｇ１錠,局,,,ゾピクロン錠１０ｍｇ「トーワ」,東和薬品,後発品,,,7.30 ,,
内用薬,1129007F2103,ゾピクロン,１０ｍｇ１錠,局,,,ゾピクロン錠１０ｍｇ「サワイ」,沢井製薬,後発品,,,7.30 ,,
内用薬,1129008F1012,タンドスピロンクエン酸塩,５ｍｇ１錠,,,,タンドスピロンクエン酸塩５ｍｇ錠,,後発品,,,6.80 ,,
内用薬,1129008F1039,タンドスピロンクエン酸塩,５ｍｇ１錠,,,,セディール錠５ｍｇ,住友ファーマ,,先発品,○,12.30 ,,
内用薬,1129008F2019,タンドスピロンクエン酸塩,１０ｍｇ１錠,,,,タンドスピロンクエン酸塩１０ｍｇ錠,,後発品,,,11.80 ,,
内用薬,1129008F2035,タンドスピロンクエン酸塩,１０ｍｇ１錠,,,,セディール錠１０ｍｇ,住友ファーマ,,先発品,○,21.30 ,,
内用薬,1129008F3015,タンドスピロンクエン酸塩,２０ｍｇ１錠,,,,タンドスピロンクエン酸塩２０ｍｇ錠,,後発品,,,22.70 ,,
内用薬,1129008F3023,タンドスピロンクエン酸塩,２０ｍｇ１錠,,,,セディール錠２０ｍｇ,住友ファーマ,,先発品,○,37.40 ,,
内用薬,1129009F1017,ゾルピデム酒石酸塩,５ｍｇ１錠,,,,ゾルピデム酒石酸塩５ｍｇ錠,,後発品,,,10.10 ,,
内用薬,1129009F1025,ゾルピデム酒石酸塩,５ｍｇ１錠,局,,,マイスリー錠５ｍｇ,アステラス製薬,,先発品,○,27.30 ,,
内用薬,1129009F2013,ゾルピデム酒石酸塩,１０ｍｇ１錠,,,,ゾルピデム酒石酸塩１０ｍｇ錠,,後発品,,,10.90 ,,
内用薬,1129009F2021,ゾルピデム酒石酸塩,１０ｍｇ１錠,局,,,マイスリー錠１０ｍｇ,アステラス製薬,,先発品,○,44.90 ,,
内用薬,1129009F2056,ゾルピデム酒石酸塩,１０ｍｇ１錠,局,,,ゾルピデム酒石酸塩錠１０ｍｇ「ＤＫ」,大興製薬,後発品,,,14.50 ,R5.3.31まで,
内用薬,1129009F2064,ゾルピデム酒石酸塩,１０ｍｇ１錠,局,,,ゾルピデム酒石酸塩錠１０ｍｇ「ＤＳＥＰ」,第一三共エスファ,後発品,,,14.50 ,,
内用薬,1129009F2080,ゾルピデム酒石酸塩,１０ｍｇ１錠,局,,,ゾルピデム酒石酸塩錠１０ｍｇ「ＥＥ」,エルメッド,後発品,,,14.50 ,R5.3.31まで,
内用薬,1129009F2129,ゾルピデム酒石酸塩,１０ｍｇ１錠,局,,,ゾルピデム酒石酸塩錠１０ｍｇ「ＫＮ」,小林化工,後発品,,,14.50 ,R5.3.31まで,
内用薬,1129009F2161,ゾルピデム酒石酸塩,１０ｍｇ１錠,局,,,ゾルピデム酒石酸塩錠１０ｍｇ「ＴＣＫ」,辰巳化学,後発品,,,14.50 ,,
内用薬,1129009F2170,ゾルピデム酒石酸塩,１０ｍｇ１錠,局,,,ゾルピデム酒石酸塩錠１０ｍｇ「ＹＤ」,陽進堂,後発品,,,14.50 ,,
内用薬,1129009F2188,ゾルピデム酒石酸塩,１０ｍｇ１錠,局,,,ゾルピデム酒石酸塩錠１０ｍｇ「ＺＥ」,全星薬品工業,後発品,,,14.50 ,,
内用薬,1129009F2218,ゾルピデム酒石酸塩,１０ｍｇ１錠,局,,,ゾルピデム酒石酸塩錠１０ｍｇ「オーハラ」,大原薬品工業,後発品,,,14.50 ,,
内用薬,1129009F2234,ゾルピデム酒石酸塩,１０ｍｇ１錠,局,,,ゾルピデム酒石酸塩錠１０ｍｇ「ケミファ」,日本ケミファ,後発品,,,14.50 ,,
内用薬,1129009F2242,ゾルピデム酒石酸塩,１０ｍｇ１錠,局,,,ゾルピデム酒石酸塩錠１０ｍｇ「サワイ」,沢井製薬,後発品,,,14.50 ,,
内用薬,1129009F2269,ゾルピデム酒石酸塩,１０ｍｇ１錠,局,,,ゾルピデム酒石酸塩錠１０ｍｇ「タカタ」,高田製薬,後発品,,,14.50 ,,
内用薬,1129009F2285,ゾルピデム酒石酸塩,１０ｍｇ１錠,局,,,ゾルピデム酒石酸塩錠１０ｍｇ「トーワ」,東和薬品,後発品,,,14.50 ,,
内用薬,1129009F2307,ゾルピデム酒石酸塩,１０ｍｇ１錠,局,,,ゾルピデム酒石酸塩錠１０ｍｇ「日新」,日新製薬（山形）,後発品,,,14.50 ,,
内用薬,1129009F2331,ゾルピデム酒石酸塩,１０ｍｇ１錠,局,,,ゾルピデム酒石酸塩錠１０ｍｇ「明治」,Ｍｅｉｊｉ　Ｓｅｉｋａ　ファルマ,後発品,,,14.50 ,,
内用薬,1129009F2358,ゾルピデム酒石酸塩,１０ｍｇ１錠,局,,,ゾルピデム酒石酸塩錠１０ｍｇ「ＫＭＰ」,共創未来ファーマ,後発品,,,14.50 ,,
内用薬,1129009F2366,ゾルピデム酒石酸塩,１０ｍｇ１錠,局,,,ゾルピデム酒石酸塩錠１０ｍｇ「ＮＰＩ」,東洋カプセル,後発品,,,14.50 ,,
内用薬,1129009F3010,ゾルピデム酒石酸塩,５ｍｇ１錠,,,,ゾルピデム酒石酸塩５ｍｇ口腔内崩壊錠,,後発品,,,10.10 ,,
内用薬,1129009F3052,ゾルピデム酒石酸塩,５ｍｇ１錠,,,,ゾルピデム酒石酸塩ＯＤフィルム５ｍｇ「モチダ」,救急薬品工業,後発品,,,15.90 ,,
内用薬,1129009F4016,ゾルピデム酒石酸塩,１０ｍｇ１錠,,,,ゾルピデム酒石酸塩１０ｍｇ口腔内崩壊錠,,後発品,,,10.90 ,,
内用薬,1129009F4024,ゾルピデム酒石酸塩,１０ｍｇ１錠,,,,ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「ＥＥ」,エルメッド,後発品,,,14.50 ,R5.3.31まで,
内用薬,1129009F4032,ゾルピデム酒石酸塩,１０ｍｇ１錠,,,,ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「ＫＮ」,小林化工,後発品,,,14.50 ,R5.3.31まで,
内用薬,1129009F4040,ゾルピデム酒石酸塩,１０ｍｇ１錠,,,,ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「サワイ」,沢井製薬,後発品,,,14.50 ,,
内用薬,1129009F4059,ゾルピデム酒石酸塩,１０ｍｇ１錠,,,,ゾルピデム酒石酸塩ＯＤフィルム１０ｍｇ「モチダ」,救急薬品工業,後発品,,,26.20 ,,
内用薬,1129009F4067,ゾルピデム酒石酸塩,１０ｍｇ１錠,,,,ゾルピデム酒石酸塩ＯＤ錠１０ｍｇ「トーワ」,東和薬品,後発品,,,14.50 ,,
内用薬,1129009S1023,ゾルピデム酒石酸塩,５ｍｇ１ｍＬ１包,,,,ゾルピデム酒石酸塩内用液５ｍｇ「タカタ」,高田製薬,後発品,,,40.50 ,,
内用薬,1129009S2020,ゾルピデム酒石酸塩,１０ｍｇ２ｍＬ１包,,,,ゾルピデム酒石酸塩内用液１０ｍｇ「タカタ」,高田製薬,後発品,,,60.50 ,,
内用薬,1129010F1010,エスゾピクロン,１ｍｇ１錠,,,,エスゾピクロン１ｍｇ錠,,後発品,,,11.80 ,,
内用薬,1129010F1028,エスゾピクロン,１ｍｇ１錠,,,,ルネスタ錠１ｍｇ,エーザイ,,先発品,○,39.40 ,,
内用薬,1129010F1036,エスゾピクロン,１ｍｇ１錠,,,,エスゾピクロン錠１ｍｇ「ＤＳＥＰ」,第一三共エスファ,後発品,,,13.30 ,,
内用薬,1129010F1044,エスゾピクロン,１ｍｇ１錠,,,,エスゾピクロン錠１ｍｇ「ＫＭＰ」,共創未来ファーマ,後発品,,,13.30 ,,
内用薬,1129010F1052,エスゾピクロン,１ｍｇ１錠,,,,エスゾピクロン錠１ｍｇ「ＮＰＩ」,日本薬品工業,後発品,,,13.30 ,,
